bill_number,session,session_type,title,sponsors,out_chamber_sponsors,bill_url
HB15-1111,2015,RS,Maternal Mortality Prevention Act,MCCANN,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/EC87A7F2B4352AA387257D88006205B3?opendocument
HB15-1112,2015,RS,Born-alive Infant Protection Act,LANDGRAF,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0FD371E2FE20F5B287257D870076790C?opendocument
HB15-1113,2015,RS,Foreclosure Sale Continuation HOA Assessments,ROUPE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/81631A4FC478281C87257D95005777F8?opendocument
HB15-1114,2015,RS,Prohibit State Aid To NDAA Investigations,SAINE,WOODS; ULIBARRI,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/E199C6527712339A87257D87006B3000?opendocument
HB15-1115,2015,RS,Use Of Unmanned Aerial Vehicles,LAWRENCE,NEWELL; LUNDBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/85E8C5793B1EAFE187257D8700813C8F?opendocument
HB15-1116,2015,RS,Repeal School Building Inspection Reqmnt,BROWN,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/DB32D964F97C4D8787257DAF005989F7?opendocument
HB15-1117,2015,RS,Electronic Transactions By Domestic Entities,WINDHOLZ,GUZMAN,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4DF73450B3928E1B87257DA90071F9E4?opendocument
HB15-1118,2015,RS,Hydroelectric Power,BROWN,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/FD69EA9D677AA2B887257D94008044B7?opendocument
HB15-1119,2015,RS,Local Government Fracking Ban Liable Royalties,BUCK,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/CD867A6CAE64C7CC87257DA9006A7D75?opendocument
HB15-1120,2015,RS,Tony Grampsas Statewide Membership Org Grant Prog,DELGROSSO; MORENO,HODGE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/20C007B6EC1B5E0187257DA100820978?opendocument
HB15-1121,2015,RS,Wind Energy Devel Agreement Recording & Expiration,BECKER J.,SONNENBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/519359B1AABA374887257DA1006E5D7D?opendocument
HB15-1122,2015,RS,Parole Application And Revocation,FIELDS,COOKE,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/7E0CAB2B212ACA9687257D87008072A2?opendocument
HB15-1123,2015,RS,Fed Test Reqmnts Option For Local Ed Providers,TATE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/D8B10E104F70AA0587257DB8006F9489?opendocument
HB15-1124,2015,RS,Rural School Districts Waiver Statute And Rules,BUCK,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4F5E558DB8304EA487257D8900604CEB?opendocument
HB15-1125,2015,RS,CO State Academic Standards & Flexible Assessments,LUNDEEN; CARVER,HOLBERT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/0BD8B05CCD70C06387257D900063D4B5?opendocument
HB15-1126,2015,RS,Overseas Fed Civilian Employee Tax Filing Status,ROSENTHAL,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/1B2CF74C859051D487257D880056DBB6?opendocument
